CladeName,Terminal,GRIN,GRINplus20,GRINminus20,GGW,GGWplus20,GGWminus20
Subfam. Bambusoideae,Otatea_acuminata,1200,1440,960,1400,1680,1120
Subfam. Erhartoideae,Oryza_sp,120,144,96,120,144,96
Tribu. Meliceae,Melica_minuta,168,202,134,136,163,109
Tribu. Brachyletryae,Brachyelytrum_erectum,3,4,2,1,1,1
Tribu. Brachypodieae,Brachypodium_distachyon,16,19,13,16,19,13
Tribu. Bromeae,Bromus_hordeaceus,154,185,123,150,180,120
Tribu. Diarrheneae,Diarrhena_sp,5,6,4,5,6,4
Tribu. Lygeae,Lygeum_spartum,1,1,1,1,1,1
Tribu. Nardeae,Nardus_stricta,1,1,1,1,1,1
Tribu. Triticeae,Triticum_aestivum,406,487,325,360,432,288
Tribu. Stipeae,Stipa_offneri,546,655,437,420,504,336
Subtribu Aveneae_type_Agrostidinae,Agrostis_stolonifera,504,605,403,466,559,373
Subtribu Aveneae_type_Aveninae,Avena_barbata,326,364,242,426,511,341
Subtribu Aveneae_type_Brizinae,Briza_minor,25,30,20,25,30,20
Subtribu Aveneae_type_Phalaridineae,Phalaris_canariensis,17,20,14,17,20,14
Subtribu Aveneae_type_Anthoxanthinae,Anthoxanthum_aristatum,50,60,40,50,60,40
Subtribu Poeae_type_Airineae,Deschampsia_cespitosa,64,77,51,64,77,51
Subtribu Poeae_type_Alopecurinae,Alopecurus_arundinaceus,63,76,50,63,76,50
Subtribu Poeae_type_Cynosurinae,Cynosurus_cristatus,9,11,7,9,11,7
Subtribu Poeae_type_Dactylidinae,Dactylis_hispanica,2,2,2,2,2,2
Subtribu Poeae_type_Loliinae,Festuca_pratensis,565,678,452,565,678,452
Subtribu Poeae_type_Miborinae,Mibora_minima,2,2,2,2,2,2
Subtribu Poeae_type_Parapholinae,Parapholis_incurva,24,29,19,24,29,19
Subtribu Poeae_type_Poinae,Poa_annua,531,637,425,531,637,425
Subtribu Poeae_type_Puccinellinae,Puccinellia_distans,115,138,92,115,138,92
Subtribu Poeae_type_Sesleriinae,Sesleria_albicans,32,38,26,33,40,26
